zip_code,city,region,date,max_temp_f,min_temp_f,condition,fetched_on
90045,Los Angeles,California,2026-04-27,66.7,52.5,Sunny,2026-04-27
10001,New York,New York,2026-04-27,71.6,41.0,Sunny,2026-04-27
60601,Chicago,Illinois,2026-04-27,61.5,52.3,Heavy rain,2026-04-27
98101,Seattle,Washington,2026-04-27,59.0,46.9,Overcast,2026-04-27
33101,Miami,Florida,2026-04-27,88.9,68.7,Sunny,2026-04-27
77001,Houston,Texas,2026-04-27,84.2,74.1,Overcast,2026-04-27
85001,Phoenix,Arizona,2026-04-27,86.2,56.7,Sunny,2026-04-27
19101,Philadelphia,Pennsylvania,2026-04-27,75.7,40.3,Sunny,2026-04-27
78201,San Antonio,Texas,2026-04-27,93.2,75.0,Patchy rain nearby,2026-04-27
75201,Dallas,Texas,2026-04-27,96.1,73.8,Moderate rain,2026-04-27
95101,San Jose,California,2026-04-27,68.9,45.9,Sunny,2026-04-27
78701,Austin,Texas,2026-04-27,89.8,73.8,Cloudy,2026-04-27
32099,Jacksonville,Florida,2026-04-27,70.3,63.9,Patchy rain nearby,2026-04-27
28201,Charlotte,North Carolina,2026-04-27,78.4,50.9,Partly Cloudy,2026-04-27
43085,Columbus,Ohio,2026-04-27,83.3,43.2,Patchy rain nearby,2026-04-27
76101,Fort Worth,Texas,2026-04-27,102.0,74.3,Sunny,2026-04-27
46201,Indianapolis,Indiana,2026-04-27,79.7,52.7,Heavy rain,2026-04-27
94102,San Francisco,California,2026-04-27,64.4,48.4,Sunny,2026-04-27
28601,Hickory,North Carolina,2026-04-27,73.0,48.4,Partly Cloudy,2026-04-27
37201,Nashville,Tennessee,2026-04-27,90.1,60.1,Patchy rain nearby,2026-04-27
90045,Los Angeles,California,2026-04-28,68.7,48.9,Sunny,2026-04-28
90045,Los Angeles,California,2026-04-29,66.4,58.7,Sunny,2026-04-28
90045,Los Angeles,California,2026-04-30,67.0,59.5,Sunny,2026-04-28
10001,New York,New York,2026-04-28,65.1,44.1,Sunny,2026-04-28
10001,New York,New York,2026-04-29,58.7,49.1,Patchy rain nearby,2026-04-28
10001,New York,New York,2026-04-30,55.5,48.6,Moderate rain,2026-04-28
60601,Chicago,Illinois,2026-04-28,59.9,47.8,Patchy rain nearby,2026-04-28
60601,Chicago,Illinois,2026-04-29,50.0,44.6,Patchy rain nearby,2026-04-28
60601,Chicago,Illinois,2026-04-30,54.0,44.1,Patchy rain nearby,2026-04-28
98101,Seattle,Washington,2026-04-28,56.5,45.0,Overcast,2026-04-28
98101,Seattle,Washington,2026-04-29,65.2,42.7,Partly Cloudy,2026-04-28
98101,Seattle,Washington,2026-04-30,69.9,44.9,Sunny,2026-04-28
33101,Miami,Florida,2026-04-28,88.5,71.6,Sunny,2026-04-28
33101,Miami,Florida,2026-04-29,80.9,76.7,Patchy rain nearby,2026-04-28
33101,Miami,Florida,2026-04-30,82.1,76.3,Patchy rain nearby,2026-04-28
77001,Houston,Texas,2026-04-28,90.3,75.2,Patchy rain nearby,2026-04-28
77001,Houston,Texas,2026-04-29,95.5,73.7,Moderate rain,2026-04-28
77001,Houston,Texas,2026-04-30,88.3,72.6,Partly Cloudy,2026-04-28
85001,Phoenix,Arizona,2026-04-28,90.7,54.5,Sunny,2026-04-28
85001,Phoenix,Arizona,2026-04-29,85.7,68.8,Partly Cloudy,2026-04-28
85001,Phoenix,Arizona,2026-04-30,79.0,66.3,Patchy rain nearby,2026-04-28
19101,Philadelphia,Pennsylvania,2026-04-28,71.8,44.6,Patchy rain nearby,2026-04-28
19101,Philadelphia,Pennsylvania,2026-04-29,67.1,49.5,Moderate rain,2026-04-28
19101,Philadelphia,Pennsylvania,2026-04-30,58.0,50.0,Patchy rain nearby,2026-04-28
78201,San Antonio,Texas,2026-04-28,95.0,75.9,Overcast,2026-04-28
78201,San Antonio,Texas,2026-04-29,94.5,68.0,Moderate rain,2026-04-28
78201,San Antonio,Texas,2026-04-30,85.7,67.9,Patchy rain nearby,2026-04-28
75201,Dallas,Texas,2026-04-28,90.3,70.5,Moderate rain,2026-04-28
75201,Dallas,Texas,2026-04-29,68.0,63.9,Patchy rain nearby,2026-04-28
75201,Dallas,Texas,2026-04-30,67.8,61.5,Patchy rain nearby,2026-04-28
95101,San Jose,California,2026-04-28,71.8,46.9,Sunny,2026-04-28
95101,San Jose,California,2026-04-29,74.2,45.4,Sunny,2026-04-28
95101,San Jose,California,2026-04-30,77.8,44.7,Sunny,2026-04-28
78701,Austin,Texas,2026-04-28,94.9,76.1,Patchy rain nearby,2026-04-28
78701,Austin,Texas,2026-04-29,93.3,68.4,Heavy rain,2026-04-28
78701,Austin,Texas,2026-04-30,82.9,65.5,Patchy rain nearby,2026-04-28
32099,Jacksonville,Florida,2026-04-28,84.9,64.6,Partly Cloudy,2026-04-28
32099,Jacksonville,Florida,2026-04-29,90.2,66.1,Patchy rain nearby,2026-04-28
32099,Jacksonville,Florida,2026-04-30,85.3,68.0,Moderate rain,2026-04-28
28201,Charlotte,North Carolina,2026-04-28,72.0,49.8,Patchy rain nearby,2026-04-28
28201,Charlotte,North Carolina,2026-04-29,66.4,59.2,Patchy rain nearby,2026-04-28
28201,Charlotte,North Carolina,2026-04-30,75.4,52.8,Partly Cloudy,2026-04-28
43085,Columbus,Ohio,2026-04-28,69.3,58.5,Moderate rain,2026-04-28
43085,Columbus,Ohio,2026-04-29,55.7,47.9,Moderate rain,2026-04-28
43085,Columbus,Ohio,2026-04-30,59.0,41.1,Sunny,2026-04-28
76101,Fort Worth,Texas,2026-04-28,94.8,72.9,Overcast,2026-04-28
76101,Fort Worth,Texas,2026-04-29,69.2,64.1,Overcast,2026-04-28
76101,Fort Worth,Texas,2026-04-30,69.6,61.4,Patchy rain nearby,2026-04-28
46201,Indianapolis,Indiana,2026-04-28,71.2,55.9,Heavy rain,2026-04-28
46201,Indianapolis,Indiana,2026-04-29,63.7,50.9,Patchy rain nearby,2026-04-28
46201,Indianapolis,Indiana,2026-04-30,63.0,44.2,Sunny,2026-04-28
94102,San Francisco,California,2026-04-28,62.6,49.6,Sunny,2026-04-28
94102,San Francisco,California,2026-04-29,60.8,53.0,Sunny,2026-04-28
94102,San Francisco,California,2026-04-30,62.6,52.5,Sunny,2026-04-28
28601,Hickory,North Carolina,2026-04-28,70.3,48.6,Moderate rain,2026-04-28
28601,Hickory,North Carolina,2026-04-29,67.5,56.5,Patchy rain nearby,2026-04-28
28601,Hickory,North Carolina,2026-04-30,72.5,49.5,Sunny,2026-04-28
37201,Nashville,Tennessee,2026-04-28,86.4,63.7,Heavy rain,2026-04-28
37201,Nashville,Tennessee,2026-04-29,66.6,55.7,Patchy rain nearby,2026-04-28
37201,Nashville,Tennessee,2026-04-30,64.6,48.1,Sunny,2026-04-28
90045,Los Angeles,California,2026-04-29,70.7,49.1,Sunny,2026-04-29
90045,Los Angeles,California,2026-04-30,66.9,60.0,Sunny,2026-04-29
90045,Los Angeles,California,2026-05-01,67.9,60.7,Sunny,2026-04-29
10001,New York,New York,2026-04-29,62.1,49.6,Patchy rain nearby,2026-04-29
10001,New York,New York,2026-04-30,58.4,50.2,Moderate rain,2026-04-29
10001,New York,New York,2026-05-01,60.7,44.4,Sunny,2026-04-29
60601,Chicago,Illinois,2026-04-29,55.0,45.1,Patchy rain nearby,2026-04-29
60601,Chicago,Illinois,2026-04-30,52.9,44.8,Patchy rain nearby,2026-04-29
60601,Chicago,Illinois,2026-05-01,45.4,40.3,Sunny,2026-04-29
98101,Seattle,Washington,2026-04-29,65.4,41.7,Sunny,2026-04-29
98101,Seattle,Washington,2026-04-30,69.6,45.1,Sunny,2026-04-29
98101,Seattle,Washington,2026-05-01,65.7,45.5,Partly Cloudy,2026-04-29
33101,Miami,Florida,2026-04-29,89.6,68.4,Sunny,2026-04-29
33101,Miami,Florida,2026-04-30,82.8,76.8,Sunny,2026-04-29
33101,Miami,Florida,2026-05-01,82.5,77.1,Sunny,2026-04-29
77001,Houston,Texas,2026-04-29,92.8,74.8,Overcast,2026-04-29
77001,Houston,Texas,2026-04-30,90.7,74.5,Partly Cloudy,2026-04-29
77001,Houston,Texas,2026-05-01,87.1,66.6,Patchy rain nearby,2026-04-29
85001,Phoenix,Arizona,2026-04-29,94.6,57.2,Sunny,2026-04-29
85001,Phoenix,Arizona,2026-04-30,86.2,72.1,Sunny,2026-04-29
85001,Phoenix,Arizona,2026-05-01,87.2,65.5,Sunny,2026-04-29
19101,Philadelphia,Pennsylvania,2026-04-29,69.6,54.0,Moderate rain,2026-04-29
19101,Philadelphia,Pennsylvania,2026-04-30,63.1,51.9,Patchy rain nearby,2026-04-29
19101,Philadelphia,Pennsylvania,2026-05-01,62.2,44.6,Sunny,2026-04-29
78201,San Antonio,Texas,2026-04-29,97.0,70.1,Heavy rain,2026-04-29
78201,San Antonio,Texas,2026-04-30,83.0,69.1,Patchy rain nearby,2026-04-29
78201,San Antonio,Texas,2026-05-01,88.1,60.0,Patchy rain nearby,2026-04-29
75201,Dallas,Texas,2026-04-29,73.1,62.2,Moderate rain,2026-04-29
75201,Dallas,Texas,2026-04-30,64.6,60.5,Patchy rain nearby,2026-04-29
75201,Dallas,Texas,2026-05-01,55.9,52.9,Heavy rain,2026-04-29
95101,San Jose,California,2026-04-29,77.7,48.2,Sunny,2026-04-29
95101,San Jose,California,2026-04-30,77.2,45.4,Sunny,2026-04-29
95101,San Jose,California,2026-05-01,80.5,49.7,Sunny,2026-04-29
78701,Austin,Texas,2026-04-29,82.0,70.7,Heavy rain,2026-04-29
78701,Austin,Texas,2026-04-30,81.9,66.3,Patchy rain nearby,2026-04-29
78701,Austin,Texas,2026-05-01,83.5,58.1,Moderate rain,2026-04-29
32099,Jacksonville,Florida,2026-04-29,93.6,66.7,Patchy rain nearby,2026-04-29
32099,Jacksonville,Florida,2026-04-30,88.6,70.2,Patchy rain nearby,2026-04-29
32099,Jacksonville,Florida,2026-05-01,89.2,67.9,Patchy rain nearby,2026-04-29
28201,Charlotte,North Carolina,2026-04-29,77.2,58.1,Patchy rain nearby,2026-04-29
28201,Charlotte,North Carolina,2026-04-30,74.2,57.1,Patchy rain nearby,2026-04-29
28201,Charlotte,North Carolina,2026-05-01,70.1,50.5,Patchy rain nearby,2026-04-29
43085,Columbus,Ohio,2026-04-29,57.4,49.7,Moderate rain,2026-04-29
43085,Columbus,Ohio,2026-04-30,55.9,44.2,Patchy rain nearby,2026-04-29
43085,Columbus,Ohio,2026-05-01,55.5,39.6,Patchy rain nearby,2026-04-29
76101,Fort Worth,Texas,2026-04-29,73.2,60.1,Patchy rain nearby,2026-04-29
76101,Fort Worth,Texas,2026-04-30,64.9,60.6,Patchy rain nearby,2026-04-29
76101,Fort Worth,Texas,2026-05-01,54.7,52.0,Heavy rain,2026-04-29
46201,Indianapolis,Indiana,2026-04-29,63.9,51.1,Moderate rain,2026-04-29
46201,Indianapolis,Indiana,2026-04-30,61.5,43.6,Sunny,2026-04-29
46201,Indianapolis,Indiana,2026-05-01,57.8,44.8,Patchy rain nearby,2026-04-29
94102,San Francisco,California,2026-04-29,68.0,49.8,Sunny,2026-04-29
94102,San Francisco,California,2026-04-30,62.2,53.3,Sunny,2026-04-29
94102,San Francisco,California,2026-05-01,63.5,53.9,Partly Cloudy,2026-04-29
28601,Hickory,North Carolina,2026-04-29,83.7,57.4,Patchy rain nearby,2026-04-29
28601,Hickory,North Carolina,2026-04-30,73.5,50.5,Sunny,2026-04-29
28601,Hickory,North Carolina,2026-05-01,68.1,46.0,Partly Cloudy,2026-04-29
37201,Nashville,Tennessee,2026-04-29,70.9,58.2,Moderate rain,2026-04-29
37201,Nashville,Tennessee,2026-04-30,64.4,48.8,Sunny,2026-04-29
37201,Nashville,Tennessee,2026-05-01,65.8,52.8,Patchy rain nearby,2026-04-29
